schema_version,experiment,seed,source,target,condition_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,mean_degradation_risk_per_path,delta,success_continuity_retention,success_node_score_risk_reduced,success_degradation_risk_reduced,success_candidate
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,lemonade_reset,3,0.9444444444444445,1.0,0.48828125,0.51171875,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.19496082621082622,0.8846153846153846,0.38461538461538464,0.4120991209446984,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9607843137254902,1.0173010380622838,0.5065104166666666,0.49348958333333337,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.16185185185185183,1.2052631578947368,0.42105263157894735,0.35539180572389056,0.9,True,True,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9895833333333334,1.0477941176470589,0.5442708333333334,0.45572916666666663,0.0,0.08333333333333333,1.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.16185185185185183,0.8454545454545455,0.5151515151515151,0.38909368622170915,0.9,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9595588235294118,1.0160034602076125,0.4752604166666667,0.5247395833333333,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.17560185185185184,1.2666666666666666,0.3888888888888889,0.35018466677604265,0.85,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9666666666666667,1.0235294117647058,0.4934895833333333,0.5065104166666667,0.0,0.041666666666666664,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.1521494708994709,0.8777777777777778,0.5555555555555556,0.40172693295377293,0.8,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,behavioral,0.2,0,100,290,3,36,5,3,12,lemonade_reset,3,0.9444444444444445,1.0,0.48828125,0.51171875,0.0,0.0,1.0,1.0,0.0,0.0,0.19496082621082622,0.8846153846153846,0.38461538461538464,0.4120991209446984,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,behavioral,0.2,0,100,290,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9607843137254902,1.0173010380622838,0.5065104166666666,0.49348958333333337,0.0,0.0,1.0,1.0,0.0,0.0,0.16185185185185183,1.2052631578947368,0.42105263157894735,0.35539180572389056,0.9,True,True,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,behavioral,0.2,0,100,290,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9895833333333334,1.0477941176470589,0.5442708333333334,0.45572916666666663,0.0,0.08333333333333333,1.0,1.0,0.0,0.0,0.16185185185185183,0.8454545454545455,0.5151515151515151,0.38909368622170915,0.9,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,behavioral,0.2,0,100,290,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9595588235294118,1.0160034602076125,0.4752604166666667,0.5247395833333333,0.0,0.0,1.0,1.0,0.0,0.0,0.17560185185185184,1.2666666666666666,0.3888888888888889,0.35018466677604265,0.85,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,behavioral,0.2,0,100,290,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9666666666666667,1.0235294117647058,0.4934895833333333,0.5065104166666667,0.0,0.041666666666666664,1.0,1.0,0.0,0.0,0.1521494708994709,0.8777777777777778,0.5555555555555556,0.40172693295377293,0.8,True,True,True,True
