schema_version,experiment,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,delta,success_continuity_retention,success_node_score_risk_reduced,success_candidate
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.50,1,0.0,0.0,0.53515625,0.46484375,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.5,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,random,0.2,20,100,230,3,36,5,3,12,lemonade_reset,3,0.8722222222222222,1.0,0.5091145833333334,0.49088541666666663,0.0,0.08333333333333333,1.0,0.0,1.0,3.0,0.1658910533910534,1.1178571428571429,0.4642857142857143,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,random,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9112085769980506,1.0446977315901216,0.4986979166666667,0.5013020833333333,0.0,0.05128205128205129,1.0,0.0,1.0,3.6666666666666665,0.14664502164502166,1.1032786885245902,0.47540983606557374,0.9,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,random,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9090299277605779,1.0421999171777325,0.4908854166666667,0.5091145833333333,0.0,0.12820512820512822,1.0,0.0,1.0,4.666666666666667,0.1379251700680272,0.887012987012987,0.5714285714285714,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,random,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.60,3,0.8886595573902075,1.018845352421894,0.5026041666666666,0.49739583333333337,0.0,0.11378205128205128,1.0,0.0,1.0,6.0,0.1268320964749536,0.8624999999999999,0.5625,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,random,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.50,3,0.8986695674002175,1.0303217970193577,0.4934895833333333,0.5065104166666667,0.0,0.17067307692307696,1.0,0.0,1.0,5.666666666666667,0.1248118944547516,0.8875000000000001,0.5520833333333334,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,targeted,0.2,20,100,230,3,36,5,3,12,lemonade_reset,3,0.8722222222222222,1.0,0.5091145833333334,0.49088541666666663,0.0,0.08333333333333333,1.0,0.0,1.0,5.666666666666667,0.1658910533910534,1.1178571428571429,0.4642857142857143,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,targeted,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9112085769980506,1.0446977315901216,0.4986979166666667,0.5013020833333333,0.0,0.05128205128205129,1.0,0.0,1.0,6.666666666666667,0.14664502164502166,1.1032786885245902,0.47540983606557374,0.9,True,True,True
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,targeted,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9090299277605779,1.0421999171777325,0.4908854166666667,0.5091145833333333,0.0,0.12820512820512822,1.0,0.0,1.0,8.0,0.1379251700680272,0.887012987012987,0.5714285714285714,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,targeted,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.60,3,0.8886595573902075,1.018845352421894,0.5026041666666666,0.49739583333333337,0.0,0.11378205128205128,1.0,0.0,1.0,10.666666666666666,0.1268320964749536,0.8624999999999999,0.5625,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-005,n94,n10,targeted,0.2,20,100,230,3,36,5,3,12,node_score_aware_delta_0.50,3,0.8986695674002175,1.0303217970193577,0.4934895833333333,0.5065104166666667,0.0,0.17067307692307696,1.0,0.0,1.0,11.333333333333334,0.1248118944547516,0.8875000000000001,0.5520833333333334,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,random,0.2,20,100,237,3,36,5,3,12,lemonade_reset,3,0.9453744263662912,1.0,0.5052083333333334,0.49479166666666663,0.0,0.025641025641025644,1.0,0.0,1.0,4.0,0.14415266106442579,1.0809523809523809,0.42857142857142855,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,random,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9453744263662912,1.0,0.5091145833333334,0.49088541666666663,0.0,0.025641025641025644,1.0,0.0,1.0,4.0,0.14415266106442579,1.0809523809523809,0.42857142857142855,0.9,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,random,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.75,3,0.8877763871506049,0.9390738340182585,0.4635416666666667,0.5364583333333333,0.0,0.07326007326007326,1.0,0.0,1.0,3.3333333333333335,0.12126906318082788,1.0236842105263158,0.4342105263157895,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,random,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.60,3,0.8787049703602371,0.9294782531167999,0.4973958333333333,0.5026041666666667,0.0,0.07326007326007326,1.0,0.0,1.0,4.0,0.11430311890838207,1.0825,0.4375,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,random,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.50,3,0.8787049703602371,0.9294782531167999,0.4934895833333333,0.5065104166666667,0.0,0.07326007326007326,1.0,0.0,1.0,4.0,0.11430311890838207,1.0825,0.4375,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,targeted,0.2,20,100,237,3,36,5,3,12,lemonade_reset,3,0.9453744263662912,1.0,0.5052083333333334,0.49479166666666663,0.0,0.025641025641025644,1.0,0.0,1.0,6.333333333333333,0.14415266106442579,1.0809523809523809,0.42857142857142855,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,targeted,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9453744263662912,1.0,0.5091145833333334,0.49088541666666663,0.0,0.025641025641025644,1.0,0.0,1.0,6.333333333333333,0.14415266106442579,1.0809523809523809,0.42857142857142855,0.9,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,targeted,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.75,3,0.8877763871506049,0.9390738340182585,0.4635416666666667,0.5364583333333333,0.0,0.07326007326007326,1.0,0.0,1.0,7.333333333333333,0.12126906318082788,1.0236842105263158,0.4342105263157895,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,targeted,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.60,3,0.8787049703602371,0.9294782531167999,0.4973958333333333,0.5026041666666667,0.0,0.07326007326007326,1.0,0.0,1.0,7.333333333333333,0.11430311890838207,1.0825,0.4375,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-006,n92,n41,targeted,0.2,20,100,237,3,36,5,3,12,node_score_aware_delta_0.50,3,0.8787049703602371,0.9294782531167999,0.4934895833333333,0.5065104166666667,0.0,0.07326007326007326,1.0,0.0,1.0,7.333333333333333,0.11430311890838207,1.0825,0.4375,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-007,n83,n46,random,0.2,20,100,273,3,36,5,3,12,lemonade_reset,3,0.9649122807017544,1.0,0.4791666666666667,0.5208333333333333,0.0,0.0,1.0,0.0,1.0,1.3333333333333333,0.17563492063492062,0.8111111111111112,0.5555555555555556,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-007,n83,n46,random,0.2,20,100,273,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9649122807017544,1.0,0.5260416666666666,0.47395833333333337,0.0,0.0,1.0,0.0,1.0,1.3333333333333333,0.17563492063492062,0.8111111111111112,0.5555555555555556,0.9,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-007,n83,n46,random,0.2,20,100,273,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9402209226770631,0.9744107744107745,0.5104166666666666,0.48958333333333337,0.0,0.1349206349206349,1.0,0.0,1.0,2.0,0.14322751322751323,0.625,0.625,0.75,True,True,False
